key,value
exported_at,2026-05-29T21:01:23.954Z
n_position_bins,120.000000
x_plot_min,-0.300000
x_plot_max,1.300000
n_energy_bins,100.000000
show_eigenstates,true
show_theory,false
links.shape,false
links.L,true
links.m_eff,true
links.v0,true
links.gamma,true
links.sigma,true
links.energy,true
A.shape,truncated-parabolic
A.length_nm,1.000000
A.m_eff_me,1.000000
A.v0_ev,10.000000
A.gamma_ev,0.000000
A.sigma_ev,0.100000
A.energy_ev,0.870000
A.e_star_ev,0.038100
A.v0_internal,262.467192
A.e_hist_max_ev,14.000000
A.position_measurements,9030.000000
A.energy_measurements,9030.000000
A.ionisation_events,0.000000
A.outside_box_events,3.000000
A.mean_x_engine,0.498874
A.mean_e_ev,0.873129
B.shape,softened-coulomb
B.length_nm,1.000000
B.m_eff_me,1.000000
B.v0_ev,10.000000
B.gamma_ev,0.000000
B.sigma_ev,0.100000
B.energy_ev,1.300000
B.e_star_ev,0.038100
B.v0_internal,262.467192
B.e_hist_max_ev,14.000000
B.position_measurements,9030.000000
B.energy_measurements,9030.000000
B.ionisation_events,0.000000
B.outside_box_events,7.000000
B.mean_x_engine,0.504688
B.mean_e_ev,1.299832

system,shape,n,parity,E_n_ev,E_n_engine,k,kappa
A,truncated-parabolic,1,even,0.872881,22.910273,,
A,truncated-parabolic,2,odd,2.618518,68.727513,,
A,truncated-parabolic,3,even,4.363479,114.527021,,
A,truncated-parabolic,4,odd,6.104363,160.219504,,
position,B,74,0.693333,1.063123
position,B,75,0.706667,0.847176
position,B,76,0.720000,0.697674
position,B,77,0.733333,0.622924
position,B,78,0.746667,0.415282
position,B,79,0.760000,0.498339
position,B,80,0.773333,0.323920
position,B,81,0.786667,0.323920
position,B,82,0.800000,0.307309
position,B,83,0.813333,0.174419
position,B,84,0.826667,0.207641
position,B,85,0.840000,0.157807
position,B,86,0.853333,0.107973
position,B,87,0.866667,0.049834
position,B,88,0.880000,0.091362
position,B,89,0.893333,0.066445
position,B,90,0.906667,0.033223
position,B,91,0.920000,0.066445
position,B,92,0.933333,0.024917
position,B,93,0.946667,0.016611
position,B,94,0.960000,0.000000
position,B,95,0.973333,0.016611
position,B,96,0.986667,0.016611
position,B,97,1.000000,0.008306
position,B,98,1.013333,0.000000
position,B,99,1.026667,0.024917
position,B,100,1.040000,0.008306
position,B,101,1.053333,0.000000
position,B,102,1.066667,0.000000
position,B,103,1.080000,0.008306
position,B,104,1.093333,0.000000
position,B,105,1.106667,0.000000
position,B,106,1.120000,0.000000
position,B,107,1.133333,0.000000
position,B,108,1.146667,0.000000
position,B,109,1.160000,0.008306
position,B,110,1.173333,0.000000
position,B,111,1.186667,0.000000
position,B,112,1.200000,0.000000
position,B,113,1.213333,0.000000
position,B,114,1.226667,0.000000
position,B,115,1.240000,0.000000
position,B,116,1.253333,0.000000
position,B,117,1.266667,0.000000
position,B,118,1.280000,0.000000
position,B,119,1.293333,0.000000
energy,A,0,0.070000,0.000000
energy,A,1,0.210000,0.000000
energy,A,2,0.350000,0.000000
energy,A,3,0.490000,0.008701
energy,A,4,0.630000,0.289511
energy,A,5,0.770000,2.352476
energy,A,6,0.910000,3.475716
energy,A,7,1.050000,0.979275
energy,A,8,1.190000,0.037178
energy,A,9,1.330000,0.000000
energy,A,10,1.470000,0.000000
energy,A,11,1.610000,0.000000
energy,A,12,1.750000,0.000000
energy,A,13,1.890000,0.000000
energy,A,14,2.030000,0.000000
energy,A,15,2.170000,0.000000
energy,A,16,2.310000,0.000000
energy,A,17,2.450000,0.000000
energy,A,18,2.590000,0.000000
energy,A,19,2.730000,0.000000
energy,A,20,2.870000,0.000000
energy,A,21,3.010000,0.000000
energy,A,22,3.150000,0.000000
energy,A,23,3.290000,0.000000
energy,A,24,3.430000,0.000000
energy,A,25,3.570000,0.000000
energy,A,26,3.710000,0.000000
energy,A,27,3.850000,0.000000
energy,A,28,3.990000,0.000000
energy,A,29,4.130000,0.000000
energy,A,30,4.270000,0.000000
energy,A,31,4.410000,0.000000
energy,A,32,4.550000,0.000000
energy,A,33,4.690000,0.000000
energy,A,34,4.830000,0.000000
energy,A,35,4.970000,0.000000
energy,A,36,5.110000,0.000000
energy,A,37,5.250000,0.000000
energy,A,38,5.390000,0.000000
energy,A,39,5.530000,0.000000
energy,A,40,5.670000,0.000000
energy,A,41,5.810000,0.000000
energy,A,42,5.950000,0.000000
energy,A,43,6.090000,0.000000
energy,A,44,6.230000,0.000000
energy,A,45,6.370000,0.000000
energy,A,46,6.510000,0.000000
energy,A,47,6.650000,0.000000
energy,A,48,6.790000,0.000000
energy,A,49,6.930000,0.000000
energy,A,50,7.070000,0.000000
energy,A,51,7.210000,0.000000
energy,A,52,7.350000,0.000000
energy,A,53,7.490000,0.000000
energy,A,54,7.630000,0.000000
energy,A,55,7.770000,0.000000
energy,A,56,7.910000,0.000000
energy,A,57,8.050000,0.000000
energy,A,58,8.190000,0.000000
energy,A,59,8.330000,0.000000
energy,A,60,8.470000,0.000000
energy,A,61,8.610000,0.000000
energy,A,62,8.750000,0.000000
energy,A,63,8.890000,0.000000
energy,A,64,9.030000,0.000000
energy,A,65,9.170000,0.000000
energy,A,66,9.310000,0.000000
energy,A,67,9.450000,0.000000
energy,A,68,9.590000,0.000000
energy,A,69,9.730000,0.000000
energy,A,70,9.870000,0.000000
energy,A,71,10.010000,0.000000
energy,A,72,10.150000,0.000000
energy,A,73,10.290000,0.000000
energy,A,74,10.430000,0.000000
energy,A,75,10.570000,0.000000
energy,A,76,10.710000,0.000000
energy,A,77,10.850000,0.000000
energy,A,78,10.990000,0.000000
energy,A,79,11.130000,0.000000
energy,A,80,11.270000,0.000000
energy,A,81,11.410000,0.000000
energy,A,82,11.550000,0.000000
energy,A,83,11.690000,0.000000
energy,A,84,11.830000,0.000000
energy,A,85,11.970000,0.000000
energy,A,86,12.110000,0.000000
energy,A,87,12.250000,0.000000
energy,A,88,12.390000,0.000000
energy,A,89,12.530000,0.000000
energy,A,90,12.670000,0.000000
energy,A,91,12.810000,0.000000
energy,A,92,12.950000,0.000000
energy,A,93,13.090000,0.000000
energy,A,94,13.230000,0.000000
energy,A,95,13.370000,0.000000
energy,A,96,13.510000,0.000000
energy,A,97,13.650000,0.000000
energy,A,98,13.790000,0.000000
energy,A,99,13.930000,0.000000
energy,B,0,0.070000,0.000000
energy,B,1,0.210000,0.000000
energy,B,2,0.350000,0.000000
energy,B,3,0.490000,0.000000
energy,B,4,0.630000,0.000000
energy,B,5,0.770000,0.000000
energy,B,6,0.910000,0.003955
energy,B,7,1.050000,0.242050
energy,B,8,1.190000,2.199019
energy,B,9,1.330000,3.596741
energy,B,10,1.470000,1.031482
energy,B,11,1.610000,0.069609
energy,B,12,1.750000,0.000000
energy,B,13,1.890000,0.000000
energy,B,14,2.030000,0.000000
energy,B,15,2.170000,0.000000
energy,B,16,2.310000,0.000000
energy,B,17,2.450000,0.000000
energy,B,18,2.590000,0.000000
energy,B,19,2.730000,0.000000
energy,B,20,2.870000,0.000000
energy,B,21,3.010000,0.000000
energy,B,22,3.150000,0.000000
energy,B,23,3.290000,0.000000
energy,B,24,3.430000,0.000000
energy,B,25,3.570000,0.000000
energy,B,26,3.710000,0.000000
energy,B,27,3.850000,0.000000
energy,B,28,3.990000,0.000000
energy,B,29,4.130000,0.000000
energy,B,30,4.270000,0.000000
energy,B,31,4.410000,0.000000
energy,B,32,4.550000,0.000000
energy,B,33,4.690000,0.000000
energy,B,34,4.830000,0.000000
energy,B,35,4.970000,0.000000
energy,B,36,5.110000,0.000000
energy,B,37,5.250000,0.000000
energy,B,38,5.390000,0.000000
energy,B,39,5.530000,0.000000
energy,B,40,5.670000,0.000000
energy,B,41,5.810000,0.000000
energy,B,42,5.950000,0.000000
energy,B,43,6.090000,0.000000
energy,B,44,6.230000,0.000000
energy,B,45,6.370000,0.000000
energy,B,46,6.510000,0.000000
energy,B,47,6.650000,0.000000
energy,B,48,6.790000,0.000000
energy,B,49,6.930000,0.000000
energy,B,50,7.070000,0.000000
energy,B,51,7.210000,0.000000
energy,B,52,7.350000,0.000000
energy,B,53,7.490000,0.000000
energy,B,54,7.630000,0.000000
energy,B,55,7.770000,0.000000
energy,B,56,7.910000,0.000000
energy,B,57,8.050000,0.000000
energy,B,58,8.190000,0.000000
energy,B,59,8.330000,0.000000
energy,B,60,8.470000,0.000000
energy,B,61,8.610000,0.000000
energy,B,62,8.750000,0.000000
energy,B,63,8.890000,0.000000
energy,B,64,9.030000,0.000000
energy,B,65,9.170000,0.000000
energy,B,66,9.310000,0.000000
energy,B,67,9.450000,0.000000
energy,B,68,9.590000,0.000000
energy,B,69,9.730000,0.000000
energy,B,70,9.870000,0.000000
energy,B,71,10.010000,0.000000
energy,B,72,10.150000,0.000000
energy,B,73,10.290000,0.000000
energy,B,74,10.430000,0.000000
energy,B,75,10.570000,0.000000
energy,B,76,10.710000,0.000000
energy,B,77,10.850000,0.000000
energy,B,78,10.990000,0.000000
energy,B,79,11.130000,0.000000
energy,B,80,11.270000,0.000000
energy,B,81,11.410000,0.000000
energy,B,82,11.550000,0.000000
energy,B,83,11.690000,0.000000
energy,B,84,11.830000,0.000000
energy,B,85,11.970000,0.000000
energy,B,86,12.110000,0.000000
energy,B,87,12.250000,0.000000
energy,B,88,12.390000,0.000000
energy,B,89,12.530000,0.000000
energy,B,90,12.670000,0.000000
energy,B,91,12.810000,0.000000
energy,B,92,12.950000,0.000000
energy,B,93,13.090000,0.000000
energy,B,94,13.230000,0.000000
energy,B,95,13.370000,0.000000
energy,B,96,13.510000,0.000000
energy,B,97,13.650000,0.000000
energy,B,98,13.790000,0.000000
energy,B,99,13.930000,0.000000
