key,value
exported_at,2026-05-29T20:31:22.800Z
n_position_bins,120.000000
x_plot_min,-0.300000
x_plot_max,1.300000
n_energy_bins,100.000000
show_eigenstates,true
show_theory,false
links.L,false
links.m_eff,true
links.v0,true
links.gamma,true
links.sigma,true
links.energy,true
A.length_nm,1.000000
A.m_eff_me,1.000000
A.v0_ev,8.000000
A.gamma_ev,0.000000
A.sigma_ev,0.100000
A.energy_ev,1.150000
A.e_star_ev,0.038100
A.v0_internal,209.973753
A.e_hist_max_ev,11.200000
A.position_measurements,10001.000000
A.energy_measurements,10001.000000
A.ionisation_events,0.000000
A.outside_box_events,201.000000
A.mean_x_engine,0.493165
A.mean_e_ev,1.154154
B.length_nm,1.500000
B.m_eff_me,1.000000
B.v0_ev,8.000000
B.gamma_ev,0.000000
B.sigma_ev,0.100000
B.energy_ev,0.560000
B.e_star_ev,0.016933
B.v0_internal,472.440945
B.e_hist_max_ev,11.200000
B.position_measurements,10001.000000
B.energy_measurements,10001.000000
B.ionisation_events,0.000000
B.outside_box_events,58.000000
B.mean_x_engine,0.505589
B.mean_e_ev,0.558488

system,n,parity,E_n_ev,E_n_engine,k,kappa
A,1,even,0.289919,7.609428,2.758519,14.225482
A,2,odd,1.154183,30.293515,5.503954,13.404486
energy,B,50,5.656000,0.000000
energy,B,51,5.768000,0.000000
energy,B,52,5.880000,0.000000
energy,B,53,5.992000,0.000000
energy,B,54,6.104000,0.000000
energy,B,55,6.216000,0.000000
energy,B,56,6.328000,0.000000
energy,B,57,6.440000,0.000000
energy,B,58,6.552000,0.000000
energy,B,59,6.664000,0.000000
energy,B,60,6.776000,0.000000
energy,B,61,6.888000,0.000000
energy,B,62,7.000000,0.000000
energy,B,63,7.112000,0.000000
energy,B,64,7.224000,0.000000
energy,B,65,7.336000,0.000000
energy,B,66,7.448000,0.000000
energy,B,67,7.560000,0.000000
energy,B,68,7.672000,0.000000
energy,B,69,7.784000,0.000000
energy,B,70,7.896000,0.000000
energy,B,71,8.008000,0.000000
energy,B,72,8.120000,0.000000
energy,B,73,8.232000,0.000000
energy,B,74,8.344000,0.000000
energy,B,75,8.456000,0.000000
energy,B,76,8.568000,0.000000
energy,B,77,8.680000,0.000000
energy,B,78,8.792000,0.000000
energy,B,79,8.904000,0.000000
energy,B,80,9.016000,0.000000
energy,B,81,9.128000,0.000000
energy,B,82,9.240000,0.000000
energy,B,83,9.352000,0.000000
energy,B,84,9.464000,0.000000
energy,B,85,9.576000,0.000000
energy,B,86,9.688000,0.000000
energy,B,87,9.800000,0.000000
energy,B,88,9.912000,0.000000
energy,B,89,10.024000,0.000000
energy,B,90,10.136000,0.000000
energy,B,91,10.248000,0.000000
energy,B,92,10.360000,0.000000
energy,B,93,10.472000,0.000000
energy,B,94,10.584000,0.000000
energy,B,95,10.696000,0.000000
energy,B,96,10.808000,0.000000
energy,B,97,10.920000,0.000000
energy,B,98,11.032000,0.000000
energy,B,99,11.144000,0.000000
