key,value
exported_at,2026-05-29T15:03:16.438Z
v0,100.000000
energy_setting,80.000000
gamma_internal,21.000000
gamma_displayed,20.000000
instrument_sigma,2.000000
energy_units,hbar^2 / (2 m L^2)
position_units,L (box length)
n_position_bins,120.000000
x_plot_min,-0.300000
x_plot_max,1.300000
n_energy_bins,100.000000
energy_axis_max,130.000000
classical_measurements,10000.000000
classical_mean_x,0.500414
classical_mean_E,79.970924
quantum_position_measurements,8470.000000
quantum_energy_measurements,10000.000000
quantum_ionisation_events,1530.000000
quantum_outside_box_events,2107.000000
quantum_mean_x,0.501755
quantum_mean_E,124.369838

eigenstate_n,parity,energy_E_n,k,kappa
energy,quantum,54,70.850000,0.000000
energy,classical,55,72.150000,0.000154
energy,quantum,55,72.150000,0.000000
energy,classical,56,73.450000,0.001385
energy,quantum,56,73.450000,0.000000
energy,classical,57,74.750000,0.006769
energy,quantum,57,74.750000,0.000000
energy,classical,58,76.050000,0.029231
energy,quantum,58,76.050000,0.000000
energy,classical,59,77.350000,0.084615
energy,quantum,59,77.350000,0.000000
energy,classical,60,78.650000,0.156769
energy,quantum,60,78.650000,0.000000
energy,classical,61,79.950000,0.201385
energy,quantum,61,79.950000,0.000000
energy,classical,62,81.250000,0.163154
energy,quantum,62,81.250000,0.000000
energy,classical,63,82.550000,0.086846
energy,quantum,63,82.550000,0.000000
energy,classical,64,83.850000,0.030231
energy,quantum,64,83.850000,0.000000
energy,classical,65,85.150000,0.007692
energy,quantum,65,85.150000,0.000000
energy,classical,66,86.450000,0.001000
energy,quantum,66,86.450000,0.000000
energy,classical,67,87.750000,0.000000
energy,quantum,67,87.750000,0.000000
energy,classical,68,89.050000,0.000000
energy,quantum,68,89.050000,0.000154
energy,classical,69,90.350000,0.000000
energy,quantum,69,90.350000,0.001154
energy,classical,70,91.650000,0.000000
energy,quantum,70,91.650000,0.006846
energy,classical,71,92.950000,0.000000
energy,quantum,71,92.950000,0.023538
energy,classical,72,94.250000,0.000000
energy,quantum,72,94.250000,0.054308
energy,classical,73,95.550000,0.000000
energy,quantum,73,95.550000,0.084154
energy,classical,74,96.850000,0.000000
energy,quantum,74,96.850000,0.082615
energy,classical,75,98.150000,0.000000
energy,quantum,75,98.150000,0.061308
energy,classical,76,99.450000,0.000000
energy,quantum,76,99.450000,0.026154
energy,classical,77,100.750000,0.000000
energy,quantum,77,100.750000,0.012846
energy,classical,78,102.050000,0.000000
energy,quantum,78,102.050000,0.006769
energy,classical,79,103.350000,0.000000
energy,quantum,79,103.350000,0.005154
energy,classical,80,104.650000,0.000000
energy,quantum,80,104.650000,0.006462
energy,classical,81,105.950000,0.000000
energy,quantum,81,105.950000,0.003769
energy,classical,82,107.250000,0.000000
energy,quantum,82,107.250000,0.003385
energy,classical,83,108.550000,0.000000
energy,quantum,83,108.550000,0.003462
energy,classical,84,109.850000,0.000000
energy,quantum,84,109.850000,0.003154
energy,classical,85,111.150000,0.000000
energy,quantum,85,111.150000,0.002462
energy,classical,86,112.450000,0.000000
energy,quantum,86,112.450000,0.002231
energy,classical,87,113.750000,0.000000
energy,quantum,87,113.750000,0.002846
energy,classical,88,115.050000,0.000000
energy,quantum,88,115.050000,0.002538
energy,classical,89,116.350000,0.000000
energy,quantum,89,116.350000,0.002231
energy,classical,90,117.650000,0.000000
energy,quantum,90,117.650000,0.002154
energy,classical,91,118.950000,0.000000
energy,quantum,91,118.950000,0.002231
energy,classical,92,120.250000,0.000000
energy,quantum,92,120.250000,0.002077
energy,classical,93,121.550000,0.000000
energy,quantum,93,121.550000,0.002077
energy,classical,94,122.850000,0.000000
energy,quantum,94,122.850000,0.001385
energy,classical,95,124.150000,0.000000
energy,quantum,95,124.150000,0.002000
energy,classical,96,125.450000,0.000000
energy,quantum,96,125.450000,0.001231
energy,classical,97,126.750000,0.000000
energy,quantum,97,126.750000,0.001923
energy,classical,98,128.050000,0.000000
energy,quantum,98,128.050000,0.001231
energy,classical,99,129.350000,0.000000
energy,quantum,99,129.350000,0.001692
